draw_date,n1,n2,n3,n4,n5,n6,prize_4_1,prize_4_0,prize_3_1,prize_3_0
11/18/2013,4,6,10,20,27,4,68,22,9,4
11/20/2013,15,21,29,31,35,5,83,25,10,5
11/22/2013,3,8,15,17,23,3,61,29,8,4
11/25/2013,14,19,22,25,33,2,70,20,9,4
11/27/2013,10,12,23,27,32,4,160,24,9,4
11/29/2013,11,18,20,27,35,5,86,30,10,5
12/2/2013,21,23,27,33,35,4,120,31,10,5
12/4/2013,6,11,15,19,25,3,92,22,8,5
12/6/2013,2,3,19,29,31,5,85,27,10,5
12/9/2013,8,21,24,27,33,1,138,23,10,5
12/11/2013,8,10,13,20,28,4,74,20,10,4
12/13/2013,2,14,19,26,30,1,130,22,11,5
12/16/2013,8,10,20,23,25,5,115,24,8,4
12/18/2013,1,6,14,26,31,2,121,26,10,5
12/20/2013,6,8,12,30,32,3,94,22,9,5
12/23/2013,5,8,13,20,27,4,75,25,9,4
12/25/2013,6,9,21,23,29,5,362,27,9,4
12/27/2013,2,6,9,14,30,4,68,21,8,5
12/30/2013,6,15,20,27,31,5,89,23,9,5
1/1/2014,1,2,7,27,35,3,119,23,8,5
