draw_date,n1,n2,n3,n4,n5,prize_4_1,prize_4_0,prize_3_1,prize_3_0,prize_2_1
7/29/2013,2,18,20,24,8,0,1214,55,20,20
8/1/2013,6,26,27,30,16,0,1583,40,14,23
8/5/2013,15,18,24,32,10,0,2133,59,21,22
8/8/2013,4,15,18,20,34,0,1857,45,20,22
8/12/2013,3,4,7,21,17,625000,1027,38,17,16
8/15/2013,3,11,19,27,16,200000,462,52,18,21
8/19/2013,1,21,25,34,23,0,4190,64,24,22
8/22/2013,1,6,21,24,17,0,1154,52,21,19
8/26/2013,3,5,15,20,26,0,1107,45,17,18
8/29/2013,10,11,30,31,26,0,2645,37,22,21
9/2/2013,15,24,25,33,9,0,1876,50,22,19
9/5/2013,7,18,26,34,10,0,4137,54,20,20
9/9/2013,4,7,21,24,2,1000000,1206,73,19,21
9/12/2013,3,9,19,23,30,0,1059,46,16,19
9/16/2013,8,12,15,18,1,0,878,66,19,21
9/19/2013,9,13,18,24,18,300000,1892,41,17,18
9/23/2013,17,22,28,32,35,0,1688,61,20,21
9/26/2013,7,10,12,21,11,225000,1094,32,15,16
9/30/2013,5,7,9,34,20,200000,1177,46,18,18
10/3/2013,8,14,19,28,1,0,3893,48,21,23
10/7/2013,5,25,26,28,19,0,3036,74,21,21
10/10/2013,3,14,27,34,34,0,1310,76,22,22
10/14/2013,5,20,21,28,34,0,2498,57,22,23
10/17/2013,13,16,21,26,22,575000,1119,62,20,22
10/21/2013,6,15,23,34,4,0,3844,56,21,21
10/24/2013,10,13,15,33,15,0,1655,49,21,23
10/28/2013,3,6,15,20,7,0,778,49,19,17
10/31/2013,5,17,24,29,6,0,3662,56,20,21
11/4/2013,3,10,15,18,2,0,1362,47,18,21
11/7/2013,13,15,17,31,7,0,1398,41,20,18
11/11/2013,5,9,15,24,1,0,1208,45,19,19
11/14/2013,16,17,23,33,35,1150000,1649,45,20,23
11/18/2013,1,4,7,10,15,200000,923,34,15,19
11/21/2013,15,31,34,35,26,200000,1308,60,25,21
11/25/2013,8,16,18,23,32,0,2255,65,20,20
11/28/2013,9,20,27,31,11,0,2040,63,22,17
12/2/2013,5,12,13,33,1,0,803,44,20,21
12/5/2013,12,17,20,34,5,400000,3059,55,21,18
12/9/2013,1,7,16,26,10,0,1615,43,19,19
12/12/2013,3,22,28,35,3,0,3063,62,23,21
12/16/2013,10,13,14,30,2,0,3418,60,21,20
12/19/2013,9,15,20,30,20,0,1641,40,20,18
12/23/2013,4,19,22,28,33,0,2074,49,21,21
12/26/2013,6,28,30,32,23,0,3844,66,22,23
12/30/2013,13,14,18,23,3,925000,2031,49,20,19
1/2/2014,8,15,19,27,23,200000,1102,39,18,19
1/6/2014,8,10,14,29,22,0,942,53,20,23
1/9/2014,6,15,25,29,17,225000,1063,46,21,18
1/13/2014,2,6,27,34,28,0,1123,75,24,22
1/16/2014,8,25,30,34,18,0,1566,59,23,21
1/20/2014,12,23,28,33,17,0,2343,43,21,19
1/23/2014,1,7,15,26,24,0,982,56,21,18
1/27/2014,1,7,16,17,14,0,2039,50,18,20
1/30/2014,8,11,20,29,5,0,1809,45,20,19
2/3/2014,1,20,25,34,10,975000,1614,48,21,20
2/6/2014,3,16,23,30,9,0,1418,33,21,20
2/10/2014,3,4,23,26,2,0,4214,77,22,23
2/13/2014,4,14,23,33,19,0,1733,68,21,21
2/17/2014,10,18,20,30,11,425000,1387,49,19,18
2/20/2014,5,6,20,32,35,0,1316,64,23,21
2/24/2014,6,10,11,33,20,0,2161,48,20,16
2/27/2014,9,13,15,21,6,300000,1405,46,19,21
3/3/2014,2,4,18,22,4,0,4075,41,19,18
3/6/2014,5,6,8,34,11,0,4239,70,20,17
3/10/2014,1,2,17,24,10,0,2047,50,21,18
3/13/2014,3,17,28,32,28,0,1006,56,21,21
3/17/2014,11,16,20,32,27,600000,1123,51,20,22
3/20/2014,4,8,21,34,30,0,4024,54,20,22
3/24/2014,1,4,21,22,1,0,1423,45,22,20
3/27/2014,7,14,19,32,24,0,1303,47,19,22
3/31/2014,7,10,21,32,30,0,1697,58,20,21
4/3/2014,13,21,24,34,10,625000,1139,58,21,21
4/7/2014,6,13,19,22,10,0,1551,47,19,19
4/10/2014,13,16,21,31,15,0,1786,61,21,22
4/14/2014,2,15,21,31,19,0,1588,65,21,22
4/17/2014,2,7,13,22,28,450000,1606,50,18,20
4/21/2014,2,6,14,34,30,0,2377,50,21,23
4/24/2014,4,8,10,15,13,0,1336,37,17,17
4/28/2014,7,23,30,35,6,0,1348,78,21,23
5/1/2014,2,17,20,24,17,0,2588,40,20,17
5/5/2014,2,4,6,16,34,575000,1013,56,17,23
5/8/2014,1,4,10,29,21,0,1887,43,20,18
5/12/2014,1,4,12,35,10,0,1725,51,20,18
5/15/2014,6,7,22,34,8,0,2230,60,21,19
5/19/2014,12,13,28,31,13,0,3942,42,21,18
5/22/2014,5,6,11,21,33,0,916,40,19,18
5/26/2014,3,6,12,19,12,0,1137,32,17,17
5/29/2014,5,8,14,22,8,0,1385,41,19,18
6/2/2014,17,26,32,35,4,0,1908,53,20,21
6/5/2014,7,8,13,25,20,1400000,1834,45,18,19
6/9/2014,5,9,12,28,7,0,1195,27,17,16
6/12/2014,3,4,11,13,15,0,1098,57,18,19
6/16/2014,14,26,30,31,6,0,1742,61,23,22
6/19/2014,21,25,30,35,35,0,2293,50,23,22
6/23/2014,2,24,25,34,3,0,1694,57,21,20
6/26/2014,13,18,31,32,3,0,1467,66,22,21
6/30/2014,9,10,20,28,18,1000000,1504,52,19,20
7/3/2014,2,15,20,22,23,0,1344,37,22,22
7/7/2014,4,8,10,29,4,0,1157,47,18,18
7/10/2014,8,16,17,31,15,0,1966,56,22,21
7/14/2014,6,8,11,29,9,0,1824,47,20,18
7/17/2014,2,3,12,28,23,0,2307,55,21,21
7/21/2014,3,7,12,22,35,0,2405,45,17,20
7/24/2014,6,11,18,25,7,1000000,1235,48,17,18
7/28/2014,1,13,28,31,25,200000,2421,57,22,20
7/31/2014,13,21,22,25,22,0,1187,76,20,20
8/4/2014,13,19,22,35,15,0,1878,76,22,24
8/7/2014,3,12,14,26,16,0,3549,40,19,17
8/11/2014,7,21,23,25,18,450000,1484,52,20,18
8/14/2014,4,28,30,33,3,0,1299,51,22,22
8/18/2014,3,7,17,25,2,0,695,55,16,19
8/21/2014,5,6,23,25,20,0,1655,47,21,20
8/25/2014,2,5,18,30,33,450000,1059,59,22,22
8/28/2014,18,19,24,34,15,0,2322,47,20,22
