draw_date,n1,n2,n3,n4,n5,prize_3,prize_4
5/20/2013,1,6,9,13,32,9,202
5/21/2013,5,22,23,34,43,13,287
5/22/2013,27,30,33,39,43,14,245
5/23/2013,19,21,22,32,41,13.5,338.5
5/24/2013,4,7,9,28,30,8.5,164.5
5/25/2013,16,28,30,31,42,13,276.5
5/26/2013,3,13,17,31,35,9.5,162
5/27/2013,9,11,26,27,28,8.5,177.5
5/28/2013,8,12,27,34,39,11.5,269
5/29/2013,1,5,19,41,43,12,232
5/30/2013,2,9,23,25,33,10,263.5
5/31/2013,2,5,6,8,40,9,263.5
6/1/2013,2,25,28,33,40,13.5,312
6/2/2013,3,18,38,41,43,14.5,337.5
6/3/2013,2,11,20,26,43,11.5,283.5
6/4/2013,3,5,24,30,39,10.5,248
6/5/2013,8,9,15,20,33,10.5,254
6/6/2013,4,17,28,32,40,13,283.5
6/7/2013,3,4,28,33,34,12.5,318.5
6/8/2013,6,19,21,32,40,14,276
6/9/2013,9,25,30,34,40,15.5,342.5
6/10/2013,2,4,9,34,39,11.5,271
6/11/2013,3,4,25,27,30,9.5,190
6/12/2013,4,5,8,20,36,9,205
6/13/2013,6,13,18,19,43,11,289.5
6/14/2013,8,14,19,23,29,9,166.5
6/15/2013,7,12,15,30,35,10,235.5
6/16/2013,1,11,22,26,31,9.5,196
6/17/2013,5,23,29,34,40,13,277.5
6/18/2013,3,13,14,23,39,9,202.5
6/19/2013,6,12,33,35,43,14,408
6/20/2013,14,23,30,37,38,14.5,312.5
6/21/2013,2,7,16,32,35,12,305
6/22/2013,11,17,19,21,37,9.5,191
6/23/2013,5,9,12,37,38,10.5,338
6/24/2013,5,7,13,25,42,9.5,213
6/25/2013,3,6,22,23,42,11,307
6/26/2013,3,5,9,12,13,6.5,117.5
6/27/2013,4,8,9,35,36,11.5,275
6/28/2013,1,3,6,22,41,11,334
6/29/2013,4,21,26,31,40,13.5,312.5
6/30/2013,12,13,15,21,39,10.5,305.5
7/1/2013,1,26,29,32,37,14,305
7/2/2013,9,12,20,32,34,10.5,227.5
7/3/2013,15,18,20,36,43,13.5,256.5
7/4/2013,5,14,18,23,33,9,192
7/5/2013,16,17,27,37,39,11.5,290
7/6/2013,8,23,25,31,40,11.5,282
7/7/2013,6,9,16,20,32,10,268
7/8/2013,9,15,25,29,30,9,186.5
7/9/2013,2,13,16,30,33,10.5,259.5
7/10/2013,1,24,32,34,38,14.5,358.5
7/11/2013,1,27,29,35,40,14.5,442.5
7/12/2013,20,26,32,33,39,14,367.5
7/13/2013,7,19,21,27,30,7.5,175
7/14/2013,10,11,23,30,41,11,250.5
7/15/2013,6,24,25,30,34,12,289
7/16/2013,1,14,24,27,39,11.5,237.5
7/17/2013,17,19,25,31,40,11.5,293
7/18/2013,7,9,19,20,26,7.5,176.5
7/19/2013,7,11,19,34,37,9,199
7/20/2013,2,12,21,29,33,9.5,178
7/21/2013,9,15,25,31,36,11.5,268.5
7/22/2013,7,11,24,35,38,10.5,201.5
7/23/2013,13,18,20,28,42,11.5,218.5
7/24/2013,13,15,28,32,35,12,277
7/25/2013,1,3,7,28,29,9,168
7/26/2013,3,10,23,32,33,9.5,236.5
7/27/2013,1,15,27,31,42,13.5,294.5
7/28/2013,8,20,28,34,38,12,288
7/29/2013,12,16,19,25,31,9.5,212.5
7/30/2013,2,7,11,22,33,7.5,110.5
7/31/2013,4,9,17,23,39,8,170
8/1/2013,2,9,11,29,34,9,213.5
8/2/2013,6,8,31,33,41,14.5,473.5
8/3/2013,2,15,22,38,39,13,314
8/4/2013,11,12,28,31,43,11.5,344
8/5/2013,8,15,30,33,40,12.5,264.5
8/6/2013,1,3,6,25,41,11,268
8/7/2013,5,14,28,38,40,13.5,305
8/8/2013,1,4,17,26,42,12,209.5
8/9/2013,10,12,19,24,37,9,178.5
8/10/2013,1,8,18,41,43,12.5,303
8/11/2013,1,12,22,34,39,11.5,251.5
8/12/2013,10,17,27,37,43,12.5,222
8/13/2013,15,18,19,35,37,14,343.5
8/14/2013,6,16,23,27,42,12,286
8/15/2013,7,24,25,26,42,12.5,364.5
8/16/2013,7,11,18,19,43,9,245
8/17/2013,16,33,36,41,43,16.5,491.5
8/18/2013,10,15,17,34,40,14,267.5
8/19/2013,4,7,11,16,38,8.5,176
8/20/2013,7,10,31,37,40,13,318.5
8/21/2013,5,9,24,27,38,10,220.5
8/22/2013,10,12,20,25,31,8,197.5
8/23/2013,5,24,30,34,42,13.5,405
8/24/2013,1,16,26,29,39,12.5,246
